House Vote #69 2020-02-12T16:59:00 - H.R. 2546: Protecting America’s Wilderness Act
person,state,district,vote,name,party
400656,TX,24,Not Voting,Rep. Kenny Marchant [R],Republican
400657,TX,28,Yea,Rep. Henry Cuellar [D],Democrat
400659,WA,5,Nay,Rep. Cathy McMorris Rodgers [R],Republican
400661,WI,4,Yea,Rep. Gwen Moore [D],Democrat
400663,CA,6,Yea,Rep. Doris Matsui [D],Democrat
412186,NJ,8,Yea,Rep. Albio Sires [D],Democrat
412189,CA,9,Yea,Rep. Jerry McNerney [D],Democrat
412190,CA,23,Nay,Rep. Kevin McCarthy [R],Republican
412191,CO,5,Nay,Rep. Doug Lamborn [R],Republican
412192,CO,7,Yea,Rep. Ed Perlmutter [D],Democrat
412193,CT,2,Yea,Rep. Joe Courtney [D],Democrat
412195,FL,14,Yea,Rep. Kathy Castor [D],Democrat
412196,FL,16,Nay,Rep. Vern Buchanan [R],Republican
412199,GA,4,Yea,Rep. Henry “Hank” Johnson Jr. [D],Democrat
412209,IA,2,Yea,Rep. David Loebsack [D],Democrat
412211,KY,3,Yea,Rep. John Yarmuth [D],Democrat
412212,MD,3,Yea,Rep. John Sarbanes [D],Democrat
412213,MI,7,Nay,Rep. Tim Walberg [R],Republican
412217,NE,3,Nay,Rep. Adrian Smith [R],Republican
412221,NY,9,Yea,Rep. Yvette Clarke [D],Democrat
412226,OH,4,Nay,Rep. Jim Jordan [R],Republican
412236,TN,9,Yea,Rep. Steve Cohen [D],Democrat
412239,VT,0,Not Voting,Rep. Peter Welch [D],Democrat
412250,FL,12,Nay,Rep. Gus Bilirakis [R],Republican
412255,VA,1,Nay,Rep. Robert Wittman [R],Republican
412256,OH,5,Nay,Rep. Robert Latta [R],Republican
412257,IL,11,Yea,Rep. Bill Foster [D],Democrat
412258,IN,7,Yea,Rep. André Carson [D],Democrat
412259,CA,14,Yea,Rep. Jackie Speier [D],Democrat
412261,LA,1,Nay,Rep. Steve Scalise [R],Republican
412272,VA,11,Yea,Rep. Gerald Connolly [D],Democrat
412278,KY,2,Nay,Rep. Brett Guthrie [R],Republican
412282,CT,4,Yea,Rep. James Himes [D],Democrat
412286,AZ,2,Not Voting,Rep. Ann Kirkpatrick [D],Democrat
412292,MO,3,Nay,Rep. Blaine Luetkemeyer [R],Republican
412293,NM,3,Yea,Rep. Ben Luján [D],Democrat
412295,CA,4,Nay,Rep. Tom McClintock [R],Republican
412302,TX,22,Nay,Rep. Pete Olson [R],Republican
412307,ME,1,Yea,Rep. Chellie Pingree [D],Democrat
412309,FL,8,Nay,Rep. Bill Posey [R],Republican
412310,TN,1,Nay,Rep. David “Phil” Roe [R],Republican
412315,OR,5,Yea,Rep. Kurt Schrader [D],Democrat
412317,PA,15,Nay,Rep. Glenn Thompson [R],Republican
412318,NV,1,Yea,Rep. Dina Titus [D],Democrat
412319,NY,20,Yea,Rep. Paul Tonko [D],Democrat
412327,OH,11,Yea,Rep. Marcia Fudge [D],Democrat
412331,IL,5,Yea,Rep. Mike Quigley [D],Democrat
412379,CA,27,Yea,Rep. Judy Chu [D],Democrat
412382,CA,3,Yea,Rep. John Garamendi [D],Democrat
412385,FL,22,Yea,Rep. Theodore “Ted” Deutch [D],Democrat
412388,GA,14,Not Voting,"Rep. Tom Graves [R, 2013-2020]",Republican
412393,NY,23,Nay,Rep. Tom Reed II [R],Republican
412394,AL,2,Nay,Rep. Martha Roby [R],Republican
412395,AL,5,Nay,Rep. Mo Brooks [R],Republican
412396,AL,7,Yea,Rep. Terri Sewell [D],Democrat
412397,AZ,4,Nay,Rep. Paul Gosar [R],Republican
412399,AZ,6,Nay,Rep. David Schweikert [R],Republican
412400,AR,1,Nay,Rep. Eric “Rick” Crawford [R],Republican
412402,AR,3,Nay,Rep. Steve Womack [R],Republican
412404,CA,37,Yea,Rep. Karen Bass [D],Democrat
412405,CO,3,Nay,Rep. Scott Tipton [R],Republican
412410,FL,11,Nay,Rep. Daniel Webster [R],Republican
412412,FL,24,Yea,Rep. Frederica Wilson [D],Democrat
412416,GA,7,Nay,Rep. Rob Woodall [R],Republican
412417,GA,8,Nay,Rep. Austin Scott [R],Republican
412421,IL,16,Not Voting,Rep. Adam Kinzinger [R],Republican
412427,IN,8,Nay,Rep. Larry Bucshon [R],Republican
412432,LA,2,Yea,Rep. Cedric Richmond [D],Democrat
412434,MD,1,Nay,Rep. Andy Harris [R],Republican
412435,MA,9,Yea,Rep. William Keating [D],Democrat
412437,MI,2,Nay,Rep. Bill Huizenga [R],Republican
412438,MI,3,Nay,Rep. Justin Amash [L],Independent
412443,MS,4,Nay,Rep. Steven Palazzo [R],Republican
412444,MO,4,Nay,Rep. Vicky Hartzler [R],Republican
412445,MO,7,Nay,Rep. Billy Long [R],Republican
412460,OH,6,Nay,Rep. Bill Johnson [R],Republican
412461,OH,15,Nay,Rep. Steve Stivers [R],Republican
412463,OH,7,Nay,Rep. Bob Gibbs [R],Republican
412465,PA,16,Nay,Rep. Mike Kelly [R],Republican
412470,RI,1,Yea,Rep. David Cicilline [D],Democrat
412472,SC,3,Nay,Rep. Jeff Duncan [R],Republican
412476,TN,3,Nay,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,TN,4,Nay,Rep. Scott DesJarlais [R],Republican
412480,TX,17,Nay,Rep. Bill Flores [R],Republican
412485,VA,9,Nay,Rep. Morgan Griffith [R],Republican
412486,WA,3,Nay,Rep. Jaime Herrera Beutler [R],Republican
412487,WV,1,Nay,Rep. David McKinley [R],Republican
412500,NV,2,Nay,Rep. Mark Amodei [R],Republican
412501,OR,1,Yea,Rep. Suzanne Bonamici [D],Democrat
412503,KY,4,Nay,Rep. Thomas Massie [R],Republican
412505,WA,1,Yea,Rep. Suzan DelBene [D],Democrat
412506,NJ,10,Not Voting,Rep. Donald Payne Jr. [D],Democrat
412510,CA,1,Nay,Rep. Doug LaMalfa [R],Republican
412511,CA,2,Yea,Rep. Jared Huffman [D],Democrat
412512,CA,7,Yea,Rep. Ami Bera [D],Democrat
412513,CA,8,Nay,Rep. Paul Cook [R],Republican
412514,CA,15,Yea,Rep. Eric Swalwell [D],Democrat
412516,CA,26,Yea,Rep. Julia Brownley [D],Democrat
412517,CA,29,Yea,Rep. Tony Cárdenas [D],Democrat
412519,CA,36,Yea,Rep. Raul Ruiz [D],Democrat
