House Vote #624 2019-11-15T12:04:00 - H.R. 4863: United States Export Finance Agency Act of 2019
person,state,district,vote,name,party
400659,WA,5,No,Rep. Cathy McMorris Rodgers [R],Republican
400661,WI,4,Aye,Rep. Gwen Moore [D],Democrat
400663,CA,6,Aye,Rep. Doris Matsui [D],Democrat
412186,NJ,8,Aye,Rep. Albio Sires [D],Democrat
412189,CA,9,Aye,Rep. Jerry McNerney [D],Democrat
412190,CA,23,No,Rep. Kevin McCarthy [R],Republican
412191,CO,5,No,Rep. Doug Lamborn [R],Republican
412192,CO,7,Aye,Rep. Ed Perlmutter [D],Democrat
412193,CT,2,Aye,Rep. Joe Courtney [D],Democrat
412195,FL,14,Aye,Rep. Kathy Castor [D],Democrat
412196,FL,16,No,Rep. Vern Buchanan [R],Republican
412199,GA,4,Aye,Rep. Henry “Hank” Johnson Jr. [D],Democrat
412209,IA,2,Aye,Rep. David Loebsack [D],Democrat
412211,KY,3,Aye,Rep. John Yarmuth [D],Democrat
412212,MD,3,Aye,Rep. John Sarbanes [D],Democrat
412213,MI,7,No,Rep. Tim Walberg [R],Republican
412217,NE,3,No,Rep. Adrian Smith [R],Republican
412221,NY,9,Aye,Rep. Yvette Clarke [D],Democrat
412226,OH,4,No,Rep. Jim Jordan [R],Republican
412236,TN,9,Aye,Rep. Steve Cohen [D],Democrat
412239,VT,0,Aye,Rep. Peter Welch [D],Democrat
412250,FL,12,No,Rep. Gus Bilirakis [R],Republican
412255,VA,1,No,Rep. Robert Wittman [R],Republican
412256,OH,5,No,Rep. Robert Latta [R],Republican
412257,IL,11,Aye,Rep. Bill Foster [D],Democrat
412258,IN,7,Aye,Rep. André Carson [D],Democrat
412259,CA,14,Aye,Rep. Jackie Speier [D],Democrat
412261,LA,1,No,Rep. Steve Scalise [R],Republican
412272,VA,11,Aye,Rep. Gerald Connolly [D],Democrat
412278,KY,2,No,Rep. Brett Guthrie [R],Republican
412282,CT,4,Aye,Rep. James Himes [D],Democrat
412283,CA,50,Aye,"Rep. Duncan Hunter [R, 2013-2020]",Republican
412286,AZ,2,Aye,Rep. Ann Kirkpatrick [D],Democrat
412292,MO,3,Aye,Rep. Blaine Luetkemeyer [R],Republican
412293,NM,3,Aye,Rep. Ben Luján [D],Democrat
412295,CA,4,No,Rep. Tom McClintock [R],Republican
412302,TX,22,No,Rep. Pete Olson [R],Republican
412307,ME,1,Aye,Rep. Chellie Pingree [D],Democrat
412309,FL,8,No,Rep. Bill Posey [R],Republican
412310,TN,1,No,Rep. David “Phil” Roe [R],Republican
412315,OR,5,Aye,Rep. Kurt Schrader [D],Democrat
412317,PA,15,No,Rep. Glenn Thompson [R],Republican
412318,NV,1,Aye,Rep. Dina Titus [D],Democrat
412319,NY,20,Aye,Rep. Paul Tonko [D],Democrat
412327,OH,11,Aye,Rep. Marcia Fudge [D],Democrat
412331,IL,5,Aye,Rep. Mike Quigley [D],Democrat
412379,CA,27,Aye,Rep. Judy Chu [D],Democrat
412382,CA,3,Aye,Rep. John Garamendi [D],Democrat
412385,FL,22,Aye,Rep. Theodore “Ted” Deutch [D],Democrat
412388,GA,14,No,"Rep. Tom Graves [R, 2013-2020]",Republican
412393,NY,23,Aye,Rep. Tom Reed II [R],Republican
412394,AL,2,Aye,Rep. Martha Roby [R],Republican
412395,AL,5,No,Rep. Mo Brooks [R],Republican
412396,AL,7,Aye,Rep. Terri Sewell [D],Democrat
412397,AZ,4,No,Rep. Paul Gosar [R],Republican
412399,AZ,6,No,Rep. David Schweikert [R],Republican
412400,AR,1,No,Rep. Eric “Rick” Crawford [R],Republican
412402,AR,3,No,Rep. Steve Womack [R],Republican
412404,CA,37,Aye,Rep. Karen Bass [D],Democrat
412405,CO,3,No,Rep. Scott Tipton [R],Republican
412410,FL,11,No,Rep. Daniel Webster [R],Republican
412412,FL,24,Aye,Rep. Frederica Wilson [D],Democrat
412416,GA,7,No,Rep. Rob Woodall [R],Republican
412417,GA,8,No,Rep. Austin Scott [R],Republican
412421,IL,16,Aye,Rep. Adam Kinzinger [R],Republican
412427,IN,8,No,Rep. Larry Bucshon [R],Republican
412432,LA,2,Aye,Rep. Cedric Richmond [D],Democrat
412434,MD,1,No,Rep. Andy Harris [R],Republican
412435,MA,9,Aye,Rep. William Keating [D],Democrat
412437,MI,2,No,Rep. Bill Huizenga [R],Republican
412438,MI,3,No,Rep. Justin Amash [L],Independent
412443,MS,4,No,Rep. Steven Palazzo [R],Republican
412444,MO,4,No,Rep. Vicky Hartzler [R],Republican
412445,MO,7,Aye,Rep. Billy Long [R],Republican
412460,OH,6,No,Rep. Bill Johnson [R],Republican
412461,OH,15,No,Rep. Steve Stivers [R],Republican
412463,OH,7,No,Rep. Bob Gibbs [R],Republican
412465,PA,16,No,Rep. Mike Kelly [R],Republican
412470,RI,1,Aye,Rep. David Cicilline [D],Democrat
412472,SC,3,No,Rep. Jeff Duncan [R],Republican
412476,TN,3,No,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,TN,4,No,Rep. Scott DesJarlais [R],Republican
412480,TX,17,Not Voting,Rep. Bill Flores [R],Republican
412485,VA,9,No,Rep. Morgan Griffith [R],Republican
412486,WA,3,Not Voting,Rep. Jaime Herrera Beutler [R],Republican
412487,WV,1,No,Rep. David McKinley [R],Republican
412500,NV,2,No,Rep. Mark Amodei [R],Republican
412501,OR,1,Aye,Rep. Suzanne Bonamici [D],Democrat
412503,KY,4,No,Rep. Thomas Massie [R],Republican
412505,WA,1,Aye,Rep. Suzan DelBene [D],Democrat
412506,NJ,10,Aye,Rep. Donald Payne Jr. [D],Democrat
412510,CA,1,No,Rep. Doug LaMalfa [R],Republican
412511,CA,2,No,Rep. Jared Huffman [D],Democrat
412512,CA,7,Aye,Rep. Ami Bera [D],Democrat
412513,CA,8,No,Rep. Paul Cook [R],Republican
412514,CA,15,Aye,Rep. Eric Swalwell [D],Democrat
412516,CA,26,Aye,Rep. Julia Brownley [D],Democrat
412517,CA,29,Aye,Rep. Tony Cárdenas [D],Democrat
412519,CA,36,Aye,Rep. Raul Ruiz [D],Democrat
412520,CA,41,Aye,Rep. Mark Takano [D],Democrat
412521,CA,47,Aye,Rep. Alan Lowenthal [D],Democrat
412522,CA,51,Aye,Rep. Juan Vargas [D],Democrat
412523,CA,52,Aye,Rep. Scott Peters [D],Democrat
412525,FL,3,No,Rep. Ted Yoho [R],Republican
412529,FL,21,Aye,Rep. Lois Frankel [D],Democrat
412531,GA,9,No,Rep. Doug Collins [R],Republican
412532,HI,2,Not Voting,Rep. Tulsi Gabbard [D],Democrat
412534,IL,10,Aye,Rep. Bradley “Brad” Schneider [D],Democrat
412536,IL,13,No,Rep. Rodney Davis [R],Republican
412537,IL,17,Aye,Rep. Cheri Bustos [D],Democrat
412538,IN,2,No,Rep. Jackie Walorski [R],Republican
412539,IN,5,No,Rep. Susan Brooks [R],Republican
412541,KY,6,No,Rep. Garland “Andy” Barr [R],Republican
412543,MA,4,Aye,Rep. Joseph Kennedy III [D],Democrat
412546,MI,5,Aye,Rep. Daniel Kildee [D],Democrat
412548,MO,2,Aye,Rep. Ann Wagner [R],Republican
412550,NC,8,No,Rep. Richard Hudson [R],Republican
412552,NC,11,No,"Rep. Mark Meadows [R, 2013-2020]",Republican
412553,NC,2,No,Rep. George Holding [R],Republican
412557,NH,2,Aye,Rep. Ann Kuster [D],Democrat
412559,NV,4,Aye,Rep. Steven Horsford [D],Democrat
412560,NY,6,Aye,Rep. Grace Meng [D],Democrat
